id: 851281976086511616 ,[u'RT @Blooweels: Electric GT : la premi\xe8re course des Tesla S P100D modifi\xe9es se tiendra en France \U0001f1eb\U0001f1f7 @EGTChampionship @GTspirit  https://t.c\u2026', 147]
id: 851282403418963968 ,[u'First sighting of a blue Tesla Model 3 testing on the freeway with Ludicrous chase car https://t.co/YDHmLaIU6O', 19213]
id: 851282096718987264 ,[u'being a private dick is hard, even harder when you\'re tex murphy in "Tesla Effect" Live 4/10 7:30PM\u2026 https://t.co/ahCZixTVie', 78]
id: 851282108911833088 ,[u'RT @HYPEBEAST: This is the way of the future @TeslaMotors. \nhttps://t.co/7WhdiTrxFf', 333]
id: 851282117090623488 ,[u'Tesla\u3001\u30d1\u30ca\u30bd\u30cb\u30c3\u30af\u3068\u5171\u540c\u751f\u7523\u306e\u592a\u967d\u5149\u30d1\u30cd\u30eb\u898b\u7a4d\u3082\u308a\u53d7\u4ed8\u958b\u59cb https://t.co/VHCgzUiFup #News #matome', 248]
id: 851282131015749632 ,[u'\U0001f195 #\u0410\u0432\u0442\u043e\u043d\u043e\u0432\u043e\u0441\u0442\u0438 #\u0410\u0432\u0442\u043e \u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435 https://t.co/mLMbAGbwpG', 3482]
id: 851282142269067265 ,[u'\u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435', 488]
id: 851281962857660416 ,[u'\u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435', 512]
id: 851282281360523265 ,[u"RT @WIRED: Google, Tesla, and Uber aren't winning the race to build the self-driving car. An old-school automaker is https://t.co/wGGKAB654p", 6]
id: 851282349572603904 ,[u"RT @PDChina: #Tesla is planning to build a wholly-owned factory in China's Guangdong &amp; the project is waiting for gov't approval: local med\u2026", 612]
id: 851282361845129216 ,[u'\u0424\u043e\u0442\u043e\u0448\u043f\u0438\u043e\u043d\u044b \u0440\u0430\u0441\u043a\u0440\u044b\u043b\u0438 \u0434\u0438\u0437\u0430\u0439\u043d \u043d\u043e\u0432\u043e\u0433\u043e \u044d\u043b\u0435\u043a\u0442\u0440\u043e\u043a\u0430\u0440\u0430 Tesla Model 3', 420]
id: 851282378257448960 ,[u'\u0424\u043e\u0442\u043e\u0448\u043f\u0438\u043e\u043d\u044b \u0440\u0430\u0441\u043a\u0440\u044b\u043b\u0438 \u0434\u0438\u0437\u0430\u0439\u043d \u043d\u043e\u0432\u043e\u0433\u043e \u044d\u043b\u0435\u043a\u0442\u0440\u043e\u043a\u0430\u0440\u0430 Tesla Model 3', 488]
id: 851282374914527234 ,[u'\u0424\u043e\u0442\u043e\u0448\u043f\u0438\u043e\u043d\u044b \u0440\u0430\u0441\u043a\u0440\u044b\u043b\u0438 \u0434\u0438\u0437\u0430\u0439\u043d \u043d\u043e\u0432\u043e\u0433\u043e \u044d\u043b\u0435\u043a\u0442\u0440\u043e\u043a\u0430\u0440\u0430 Tesla Model 3', 413]
id: 851282383739396097 ,[u'I liked a @YouTube video https://t.co/AaTUpzE2s0 Tesla introduces ticket-avoidance-mode for Model S.', 3487]
id: 851282396381028352 ,[u'First sighting of a blue Tesla Model 3 testing on the freeway with Ludicrous chase car https://t.co/C0llgkmGn7', 25596]
id: 851282402231988224 ,[u'First sighting of a blue Tesla Model 3 testing on the freeway with Ludicrous chase car https://t.co/IWL5tcQZ3e', 4913]
id: 851282399279202306 ,[u'First sighting of a blue Tesla Model 3 testing on the freeway with Ludicrous chase car https://t.co/gBajBE9JVm', 19274]
id: 851282553419874306 ,[u'RT @mitchgrassi: literally moaning every time I pass a Tesla on the road', 53]
id: 851282572847980544 ,[u'Tesla\u2019s Sad Last Interview: \u201cI\u2019m a defeated man. I wanted to illuminate the whole earth.\u201d https://t.co/gyJ4qy4mZS', 88]
id: 851282401112109056 ,[u'First sighting of a blue Tesla Model 3 testing on the freeway with Ludicrous chase car https://t.co/6hnk9MdCfT', 67512]
id: 851282590510096391 ,[u'Tesla reveals a sleek solar panel built for your existing roof https://t.co/MOlxeTtrjE', 663]
id: 851282643408650240 ,[u'\u0410\u0432\u0442\u043e\u043f\u0440\u043e\u0438\u0437\u0432\u043e\u0434\u0438\u0442\u0435\u043b\u044c Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442... https://t.co/wci9viyEjV https://t.co/MrQTUDQUpo', 34493]
id: 851282655509336064 ,[u'Taking a peek at #Tesla... #LosAngeles #talk #cars #technology #electric #zeroemissions https://t.co/r4Fts1lLiv', 42]
id: 851282661230338049 ,[u'\u042f. \u041d\u043e\u0432\u043e\u0441\u0442\u0438 | \u0410\u0432\u0442\u043e: \u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435 https://t.co/DNbRrKBdd5', 5843]
id: 851282669509918721 ,[u'Tesla \u0441\u0442\u0440\u043e\u0438\u0442 \u043e\u0433\u0440\u043e\u043c\u043d\u044b\u0439 \u0437\u0430\u0432\u043e\u0434 \u0441\u043e\u043b\u043d\u0435\u0447\u043d\u043e\u0439 \u044d\u043d\u0435\u0440\u0433\u0438\u0438 \u043d\u0430 \u043e\u0441\u0442\u0440\u043e\u0432\u0435 \u041a\u0430\u0443\u0430\u0438 - https://t.co/hI56bhcEDN #GoogleAlerts', 1010]
id: 851282694012977156 ,[u'#askcg will you ever own a Tesla?', 414]
id: 851282730675445762 ,[u'The latest The Tesla Model X Daily! https://t.co/2HTZRggfpq #luxurycars', 1900]
id: 851282742708887553 ,[u'Tesla Said To Eye Guangdong Car Plant In China - https://t.co/dh6CTpxeGr #China #investment https://t.co/c7I0ybpmYc', 48162]
id: 851282773012643840 ,[u'\u2500\u25ba #Ciencia \xa1Genial! Publican video de como ser\xe1 el\xa0Tesla Model 3\xa0\n\u2193\nhttps://t.co/6bfa6syzq0 https://t.co/zli0J6Yv4q', 144270]
id: 851282820332793856 ,[u"RT @bretmichaels: As you can see by the big smile on my face I'm excited 2 start tour. Without voicing @DefLeppard @TeslaBand this is..http\u2026", 0]
id: 851282844148092928 ,[u'People are sleeping on Tesla smh https://t.co/cAs2Mry9br', 70]
id: 851282854751240195 ,[u"My mom asked to see the Tesla coil while she was here but we couldn't go cause LaLa Land put Griffith Park Obs in every basic man's lay-book", 1989]
id: 851282885730422788 ,[u'#startup Chinese company Tencent picks up five percent of Tesla https://t.co/sb9JtjcVMe #china #entrepreneur https://t.co/Q7nOLWyiLC', 30107]
id: 851282920484384768 ,[u'#startup These Chinese-backed start-ups gearing up to challenge Tesla https://t.co/1QySjv7vaJ #china #entrepreneur https://t.co/V5FXW0F9iF', 30107]
id: 851282919263838209 ,[u'Tesla Model Y: the electric crossover soon unveiled https://t.co/Qd6eJgYF8i', 438]
id: 851282959881588736 ,[u'Tesla\u2019s Sad Last Interview: \u201cI\u2019m a defeated man. I wanted to illuminate the whole earth.\u201d - https://t.co/ltap5N8KRF', 35]
id: 851283071420686337 ,[u'Tesla -  Got No Glory  -  Metal Hawk Productions is now accepting clients. \nhttps://t.co/GxQux4Wxip', 151888]
id: 851281434291589120 ,[u'Tesla Model 3 prototypes caught on camera https://t.co/c65jQjj8sJ https://t.co/yefXCo4kKq', 4199]
id: 851283119533469698 ,[u'Saw this: Last year, online discourse about the phrase quietly entered the legal space, in the form of a trademark dispute between Essence\u2026', 341]
id: 851283144254738434 ,[u'The latest Tesla News! https://t.co/gNeRlFlbNI #espacio', 29]
id: 851283150781030404 ,[u'Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442 \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u043d\u0430 \u044e\u0433\u0435 \u041a\u0438\u0442\u0430\u044f', 513]
id: 851283181340811264 ,[u'RT @matchpool: Is #Ethereum now powering Tesla cars with Unicorn farts? @VitalikButerin @gavofyork https://t.co/xVVTCYk5Z7', 1275]
id: 851282864930865153 ,[u'Tesla Said To Eye Guangdong Car Plant In China https://t.co/68rEiej2cL', 470]
id: 851283199346876424 ,[u'Me gust\xf3 un video de @YouTube https://t.co/xtbCoh7mpQ ENTREVISTA a Nikola tesla - "Todo es la Luz"', 13]
id: 851283604265095170 ,[u'Call in the red team: why investors who think Tesla is worth more than Ford should think again\u2026 https://t.co/zpAZ3GDOyD', 12367230]
id: 851281052677033985 ,[u'@neconooya2 Get our curated publication on Elon Musk, SpaceX, Tesla, Hyperloop, SolarCity, and OpenAI https://t.co/uhzxzw0fDx', 30145]
id: 851281075288461312 ,[u'RT @elonmusk: Made today on Tesla sketch pad https://t.co/Z8dFP2NN41', 1679]
id: 851281089528160256 ,[u'Why Ford and GM Are Actually Way Ahead of #Tesla and #Uber in Developing #SelfDrivingCars. https://t.co/W5WoxGDrJT https://t.co/O3I04gAu4N', 23260]
id: 851281088445956100 ,[u"RT @yashar: This is pure insanity and he's relying on a Tesla engineer for proof that Assad has never launched chem weapons against his own\u2026", 2100]
id: 851283287959937033 ,[u'RT @neslytkn: "B\xfct\xfcn Biyolojik Sistemimiz, Beyin, D\xfcnya\'n\u0131n Kendisi, hepsi Ayn\u0131 Frekans\'dad\u0131r."\n\n@AnlaArtk @AhmedHulusi \n\nNikola Tesla http\u2026', 5873]
id: 851281155911331840 ,[u'RT @TeslaMotors: Model S or Model 3: Which Tesla is right for you https://t.co/kxwSZKQKRe', 7742]
id: 851283359166746624 ,[u'RT @africanarchives: Women Infant and Child (W.I.C) was created by the Black Panthers Party to help feed single mothers and the children in\u2026', 5]
id: 851281171413467136 ,[u'RT @BernieSanders: Trump and the rest of the Republican party are turning their backs on working and rural Americans and seniors.\nhttps://t\u2026', 19]
id: 851283377286029313 ,[u'oh my fav emoji looks so goofy on iOS 10 good god', 74]
id: 851283380498857985 ,[u'Tesla Inc (NASDAQ:TSLA) Heffx Technicals Time to Sell? https://t.co/huYY5Un0c6 https://t.co/IP5ej1gPog', 7752]
id: 851281249083604992 ,[u'RT @TeslaMotors: Supercharger availability is now displayed on your Tesla touchscreen so you can see how many stalls are open before you ar\u2026', 5]
id: 851283456881340418 ,[u'RT @WSJ: An Austin estate with a life-size medieval village, lighthouse and pirate ship is hitting the market for $45 million https://t.co/\u2026', 12631]
id: 851281298421202944 ,[u"RT @WIRED: Google, Tesla, and Uber aren't winning the race to build the self-driving car. An old-school automaker is https://t.co/wGGKAB654p", 138]
id: 851282908195115011 ,[u"Look at Tesla Motors' 5 Big Changes This Year https://t.co/iQ0bYuONxs", 438]
id: 851283519187730432 ,[u'Tesla registers domain names for UAW Union fight.. https://t.co/7sjV8vRTW5', 722]
id: 851281307925491716 ,[u'@ss12bhardwaj Have you seen our cool Tesla &amp; SpaceX Themed Apparel? https://t.co/pUOWG4m5sp', 30145]
id: 851282397840654337 ,[u'First sighting of a blue Tesla Model 3 testing on the freeway with Ludicrous chase car https://t.co/jLT1xnT98z', 18238]
id: 851283555133018113 ,[u'#Tesla headlines #2017TMA - fantastic opp to hear first-hand\nfrom a leader in #machinery #energyefficiency https://t.co/Ycql7MK9p8', 133]
id: 851281378276589568 ,[u'Tesla \u043f\u043b\u0430\u043d\u0438\u0440\u0443\u0435\u0442 \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u043d\u0430 \u044e\u0433\u0435 \u041a\u0438\u0442\u0430\u044f', 3466]
id: 851283591526875136 ,[u'"Tesla reveals a sleek solar panel built for your existing roof" https://t.co/ZWEDMfrIjH #readlater #feedly', 67]
id: 851283608434126848 ,[u'RT @JohnVajra: Tesla reveals a sleek solar panel built for your existing roof https://t.co/KLFa7jzRwW #iot #future #tech #city #smartcity', 6835]
id: 851283609004589057 ,[u'"Tesla/SpaceX CEO Elon Musk and Facebook CEO Mark Zuckerberg have very different ideas on what qualifies as \'#AI.\'" https://t.co/N4NSVWvwww', 250]
id: 851283631314059264 ,[u'Tesla/Solar City has retrofitted an entire island to run purely off of solar power https://t.co/NRNnZZGnIV', 4176]
id: 851281434987773952 ,[u'\u0421\u041c\u0418 \u0443\u0437\u043d\u0430\u043b\u0438 \u043e \u043f\u043b\u0430\u043d\u0430\u0445 Tesla \u043f\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u044c \u0437\u0430\u0432\u043e\u0434 \u0432 \u041a\u0438\u0442\u0430\u0435 #\u0430\u0432\u0442\u043e\u043d\u043e\u0432\u043e\u0441\u0442\u0438', 400]
id: 851283640474451969 ,[u'RT @TeslaMotors: Model S or Model 3: Which Tesla is right for you https://t.co/kxwSZKQKRe', 7331]
id: 851283668819623937 ,[u'RT @zerohedge: A new source of taxpayer grants has been found: Tesla Plans to Build Factory in China\u2019s Guangdong: Daily', 439]
id: 851283658430218245 ,[u'Lo que he aprendido hasta ahora es que Nikola Tesla era un pipi.', 1390]
