id: 850763291211288577 ,[u'@torrealbaf Ministro los trabajadores de general motors en pie de lucha contra el moustro transnacional necesitamos ser escuchado por usted', 43]
id: 850769916210929664 ,[u'RT @Hector8Riera: @torrealbaf Ministro los trabajadores de general motors en pie de lucha contra el moustro transnacional necesitamos ser e\u2026', 99]
id: 850747932945022976 ,[u'RT @IzqSocialista: General Motors: La pelea no afloja #GeneralMotors\nhttps://t.co/2cnfN1KEny https://t.co/htdw7270H4', 237]
id: 850809200947212288 ,[u'RT @dticoll: GM #selfdrivingcar centers on Cruise Automation; 2017 spend $600M; likely start via Bolt #carsharing w/ Maven &amp; Lyft https://t\u2026', 1703]
id: 850816175709749249 ,[u'RT @Sduzyatanlar: Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana\u2026', 207]
id: 850774452191338498 ,[u'RT @laVeilleTechno: Chevrolet lance une concours universitaire pour d\xe9velopper une voiture autonome https://t.co/ThvlpInDlX', 1153]
id: 850803082162294784 ,[u'\U0001f633\U0001f4b8\n\nhttps://t.co/9glIbKuIiR', 3174]
id: 850809707103170560 ,[u'Tesla Passes Ford in Market Value as Investors Bet on the Future https://t.co/7XnEuOImsf', 2634]
id: 850818528080875520 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year. Do I see a Government Bailout again? Let them go broke.', 14]
id: 850783389200171008 ,[u'Reconoce General Motors a H\xf6egh Autoliners como el proveedor del a\xf1o https://t.co/sYg8IdF1pC', 3110]
id: 850761420690116609 ,[u'RT @BBCWorld: Tesla closes in on General Motors as most valuable US carmaker https://t.co/zpkDrMf0CQ', 71]
id: 850807610957627392 ,[u'RT @hamspamtymaam: When General Motors issued its ignition switch recall it was known as the Remix To Ignition.', 35046]
id: 850785629998686208 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year -- The Motley Fool https://t.co/5fNq1bVhdG', 31]
id: 850805462534692864 ,[u'At the time the 9-2X was conceived, Saab Automobile had been a fully owned subsidiary of General Motors (GM), and... https://t.co/VwCWSOv4y0', 1341]
id: 850741699244691456 ,[u'RT @jyjault: Awckward &gt; The General Motors CEO who killed the original electric car is now in the electric car business https://t.co/mhLAki\u2026', 295]
id: 850816504715243520 ,[u"Dark blue=that seat is still available for tomorrow's game at General Motors Centre West (aka the Hershey Centre) https://t.co/ZyijOObggK", 832]
id: 850809919024627712 ,[u'RT @kenradio: Tesla reached a market capitalization of $48.7 bil compared with Ford\u2019s $45.6 bil, according to Bloomberg. General Motors was\u2026', 177]
id: 850757153254240258 ,[u'RT @laVeilleTechno: Chevrolet lance une concours universitaire pour d\xe9velopper une voiture autonome https://t.co/ThvlpInDlX', 2943]
id: 850779175334105089 ,[u'Chevy #Colorado can double as a #Family car: https://t.co/URl3VdHmEV, https://t.co/YcExCtLs8c https://t.co/i2IipRSnmi', 15]
id: 850757197470609408 ,[u'RT @coches77: Fijaos en esta r\xe9plica de Cobra de Gardner Douglas. Tiene un motor de gasolina GM de 320 CV. Se vende con 10.000 km. https://\u2026', 424]
id: 850741872209403905 ,[u'Chevrolet lance une concours universitaire pour d\xe9velopper une voiture autonome https://t.co/Fm4n7w5h7B', 2728]
id: 850810259694342149 ,[u"I'm at Escrit\xf3rio General Assembly - General Motors do Brasil https://t.co/JyjLXaRCV3", 333]
id: 850816676992086016 ,[u"RT @UsmanMSheikh: @GM Approaching #DriverlessCars 'Like a #SiliconValley Startup' https://t.co/KFhLZPLMcX - #SelfDriving #Autonomous - http\u2026", 1898]
id: 850763905135767554 ,[u'@torrealbaf Ministro los trabajadores de general motors necesitamo q nos visite a planta valencia 34 d\xedas de resgua\u2026 https://t.co/OHI0r8oxmN', 43]
id: 850829881478983682 ,[u"Edward T. Welburn is an automobile designer and General Motors' Vice President of Global Design\u2026 https://t.co/ZPEZ3H0kZq", 469]
id: 850779320251555840 ,[u'RT @Bankinter: Tesla supera tambi\xe9n a General Motors y se convierte en el mayor fabricante de coches de EEUU en Wall Street https://t.co/gT\u2026', 52]
id: 850829907450097664 ,[u"Edward T. Welburn is an automobile designer and General Motors' Vice President of Global Design from 2003 to 2016.\u2026\u2026 https://t.co/JbysHrcilN", 469]
id: 850790355884756994 ,[u'COMING UP at 12:26p w/@eppman: The stock market value of Tesla catches much-larger rivals Ford and General Motors. #MoneyNews', 188713]
id: 850761805441794048 ,[u'First look: 2018 Regal Sportback, Regal TourX station wagon - Detroit Free Press https://t.co/GbLcdNajBi https://t.co/t46BfQGkM5', 1196]
id: 850755227133280256 ,[u'Fijaos en esta r\xe9plica de Cobra de Gardner Douglas. Tiene un motor de gasolina GM de 320 CV. Se vende con 10.000 km\u2026 https://t.co/KAV9JlLcC6', 357]
id: 850810208104443908 ,[u'Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana kadar oynad\u0131m.', 15633]
id: 850792647778349057 ,[u'RT @PrensaIzquierda: "El gran fraude del chavismo fue hablar de socialismo mientras subsidiaba a transnacionales como General Motors " @gui\u2026', 1358]
id: 850759705513340928 ,[u'The General Motors CEO who killed the original electric car is now in the electric car business - https://t.co/NmV9TsTEaH #electriccar #GM', 3252]
id: 850752223483236352 ,[u'Wilsey Asset Management Inc. Has $9,166,000 Stake in General Motors Company $GM https://t.co/oQ7iEmDy26', 6755]
id: 850805903146221568 ,[u'RT @LinamarCorp: Linamar recognized as a General Motors 2016 Supplier of Year at their most recent SOY ceremony! Details: https://t.co/Dog4\u2026', 35]
id: 850816898816237572 ,[u"RT @Austin_Kerby: @GM Approaching #DriverlessCars 'Like a #SiliconValley Startup' https://t.co/16fWs1Sd8Z - #SelfDriving #Autonomous - http\u2026", 1898]
id: 850810350220050432 ,[u'RT @Sduzyatanlar: Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana\u2026', 371]
id: 850748802587914240 ,[u'General Motors Is Betting $600 Million on Self-Driving This... https://t.co/B4pni1A2On #free #freeride #freerides https://t.co/QTWPQaxPXs', 1363]
id: 850797199629877249 ,[u'RT @NEWS1130: COMING UP at 12:26p w/@eppman: The stock market value of Tesla catches much-larger rivals Ford and General Motors. #MoneyNews', 489]
id: 850757624924655616 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year | Business Mar... https://t.co/4zjbI5cDE4 #autonomousCar #selfDrivingCar', 57]
id: 850823598272987136 ,[u'Chevy Colorado can double as a family car - The Detroit News https://t.co/tqEAB83tyL', 2232]
id: 850764282778324993 ,[u'@torrealbaf Ministro los trabajadores de general motors lo invitamos a q sepa toda la verdad 34 d\xedas de resguardo e\u2026 https://t.co/nB5wcb66QI', 43]
id: 850810474216255488 ,[u'RT @Sduzyatanlar: Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana\u2026', 357]
id: 850768686294212617 ,[u'https://t.co/3KJlis9r2Z', 59]
id: 850792912094994433 ,[u'I just checked in at GMC (General Motors Company) with #mPLUSPlaces Download today!  https://t.co/ktUKBCv4WT', 660]
id: 850770989357170690 ,[u'I just checked in at GMC (General Motors Company) with #mPLUSPlaces Download today!  https://t.co/MXdwW6g9Ik', 30]
id: 850830388574507008 ,[u"GM approaching driverless cars 'like a Silicon Valley #startup' https://t.co/XKfHwzbJ3l", 956]
id: 850815028525580288 ,[u'Chevy Colorado can double as a family car https://t.co/KQ1yZhFjkb #detroit https://t.co/3Sr5JCCVYg', 9741]
id: 850779854400126977 ,[u'General Motors India may stop domestic sales from next month and may run the plant only to cater to export markets. https://t.co/tsBVeqlShI', 549]
id: 850812851036069889 ,[u'RT @Sduzyatanlar: Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana\u2026', 13313]
id: 850749103789154305 ,[u'General Motors Is Betting $600 Million on Self-Driving This Year https://t.co/ymWhlQIZQl #selfdriving #future', 367]
id: 850761019358158848 ,[u'RT @Autonomous_Newz: General Motors Is Betting $600 Million on Self-Driving This Year https://t.co/xcrOrS5QQW', 4939]
id: 850743063148244992 ,[u'Chevrolet lance une concours universitaire pour d\xe9velopper une voiture autonome https://t.co/CKFt74WiW9 https://t.co/8NN7hCKfGh', 464]
id: 850764582662615042 ,[u'@torrealbaf Ministro los trabajadores de general motors denunciamos al sindicato sinvensoc de esta con el patrono y\u2026 https://t.co/fwHltka4B5', 43]
id: 850760196712521729 ,[u'Axalta Coating Systems Recognized by General Motors as a 2016 Supplier of the Year Winner - https://t.co/sNEFpGHM7v', 12934]
id: 850804194525294593 ,[u"@GM Approaching #DriverlessCars 'Like a #SiliconValley Startup' https://t.co/16fWs1Sd8Z - #SelfDriving #Autonomous - https://t.co/4Jes5Xv6Gf", 128]
id: 850758029167415296 ,[u".@GM's April #CorporateResponsibility newsletter is now live https://t.co/rbxBdMdacM https://t.co/buKbzjkCVU via @3BLMedia", 25832]
id: 850813026735460352 ,[u'RT @Sduzyatanlar: Uluslararas\u0131 Montreal caz festivalinin General motors Big event gecesinde sahneye p\xfcsk\xfcll\xfc k\xf6\xe7ek ete\u011fimle \xe7\u0131k\u0131p bay\u0131lana\u2026', 29]
id: 850769085940064257 ,[u'Vehicle Safety Tool Analyst - ENG0034517 job at General Motors - Warren https://t.co/TtR1wMXGIZ #Indeed #jobs', 12]
